Model,Accuracy,Precision,Recall,F1,AUC
SVC,0.48735718299306985,0.7944887118193891,0.5304810463311904,0.6361823740529045,0.3651822115987008
MLP,0.8522195167634389,0.8651883830455259,0.9773886056306805,0.9178723847194754,0.6863121494746605
RandomForest,0.9085971155647125,0.9069391058061905,0.9937929505652848,0.9483816374021579,0.893603076537546
XGBoost,0.9175875632140851,0.9229170995221275,0.9847040567501663,0.9528099528099528,0.9210162062248266
